Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,398.0,397.7,405.5,415.8,413.2,391.6,388.2,393.9,399.3,410.1,415.7,422.6,420.6,411.0,420.5,428.0,414.8,424.5,422.5,425.1,423.9,417.4,429.0,419.3,398.4,397.7,408.4,405.3,410.6,407.5,406.4,396.7,397.8,396.2,388.7,361.8,362.7,367.8
Mexico,54.5,52.0,52.8,52.3,54.3,58.1,58.6,58.6,57.6,59.7,57.6,58.1,58.4,59.8,59.7,62.3,60.8,61.4,61.2,63.8,69.0,69.0,68.8,70.7,68.6,67.9,70.0,69.7,68.8,67.5,66.0,66.7,67.3,65.8,64.5,59.0,63.1,68.4
US,309.0,308.8,316.0,327.1,331.4,328.0,323.1,323.2,325.4,327.0,329.8,336.8,335.0,333.0,334.8,338.4,326.8,328.3,326.2,329.4,326.4,320.6,321.8,311.0,293.0,300.2,295.1,284.8,290.0,290.6,285.5,283.0,281.8,290.1,286.2,263.7,277.2,283.5
Argentina,57.2,59.6,61.3,61.4,58.4,56.6,56.7,60.0,61.1,63.5,64.7,66.8,66.8,68.4,68.4,67.9,65.6,62.2,66.0,69.3,72.8,75.7,78.2,78.4,75.4,77.4,78.8,81.0,83.3,82.4,83.0,81.8,81.0,79.8,74.6,69.5,76.8,79.2
Brazil,36.1,37.3,37.6,38.0,38.3,37.4,38.0,37.9,39.0,40.2,42.1,43.9,46.0,46.9,46.8,48.2,46.4,46.9,47.2,48.9,49.7,50.5,53.2,54.9,54.0,58.4,59.9,61.1,62.0,63.1,61.7,59.7,59.8,59.5,60.1,57.3,60.0,62.3
Chile,32.1,32.8,33.9,37.3,40.5,42.0,46.4,50.7,52.8,54.6,58.0,60.6,68.3,67.6,69.5,72.1,72.7,73.6,73.2,77.4,79.5,81.5,80.6,79.8,75.8,77.1,80.9,83.6,85.1,83.4,83.4,86.4,88.3,90.1,89.6,82.5,88.1,91.2
Colombia,26.9,27.6,29.6,28.9,29.8,27.9,28.0,28.5,30.4,32.3,32.4,33.1,33.0,32.9,30.1,28.8,28.6,28.2,28.3,29.3,28.5,32.5,32.6,33.6,32.8,34.1,35.3,37.1,37.8,39.4,36.9,41.2,40.9,40.8,40.4,36.2,40.1,42.3
Ecuador,23.7,24.2,24.4,27.5,27.7,27.9,30.1,29.3,29.8,31.8,29.5,33.0,36.1,35.7,32.0,29.7,29.6,28.7,28.9,30.3,31.6,32.8,33.9,35.6,34.1,37.3,38.9,40.4,41.1,42.5,41.8,41.0,42.0,43.6,43.8,37.3,42.9,43.7
Peru,18.7,19.7,21.0,20.0,18.0,17.4,16.9,16.1,17.3,18.4,19.6,19.9,19.1,19.4,19.6,19.9,19.5,19.7,19.2,20.3,20.9,21.0,22.7,24.3,24.6,27.7,30.4,31.1,31.5,31.9,33.0,34.6,34.6,35.6,35.8,30.1,33.9,35.4
Trinidad & Tobago,177.3,181.9,169.6,184.4,179.7,197.8,195.7,205.7,215.4,227.0,244.9,276.3,275.2,278.4,308.4,321.1,344.8,372.2,414.9,453.7,483.7,561.7,575.9,564.2,556.2,597.0,582.3,569.1,575.5,568.6,548.1,483.2,509.6,473.9,445.4,391.7,399.8,386.2
Venezuela,104.2,109.1,106.2,107.9,106.1,110.0,108.2,114.4,110.6,117.5,118.5,113.1,117.1,121.7,119.5,120.6,123.0,122.2,112.2,119.8,121.5,126.1,131.2,126.8,124.8,118.6,120.0,124.0,123.5,117.2,114.3,98.9,100.2,86.7,76.4,63.8,74.5,78.1
Central America,13.6,13.7,14.2,13.8,14.3,14.5,14.9,16.0,16.8,17.4,18.3,18.2,18.8,20.4,20.7,21.1,21.4,21.5,22.0,22.4,22.2,23.0,23.6,23.9,23.1,23.7,23.9,24.5,24.5,24.9,27.0,27.8,28.4,28.5,29.6,26.7,29.7,30.5
Other Caribbean,39.5,40.0,41.0,40.9,41.9,40.7,39.3,36.7,36.4,37.5,37.2,38.1,39.9,40.9,39.3,44.8,46.5,46.4,46.7,46.8,46.6,47.5,44.9,43.0,40.0,39.0,38.9,38.1,36.8,36.6,37.7,38.8,37.2,37.9,38.7,35.0,35.1,35.4
Other South America,20.5,26.5,30.8,31.9,34.6,36.9,38.9,38.9,41.4,44.7,49.4,51.0,54.2,55.4,54.8,53.7,48.7,49.7,50.8,49.3,49.4,49.2,52.5,53.7,53.6,54.2,56.2,56.4,57.8,55.9,55.9,59.9,58.7,58.7,55.0,47.4,49.8,50.9
Austria,150.3,150.5,158.8,156.2,156.4,157.1,163.2,158.8,160.4,158.8,166.3,166.2,169.6,172.1,175.7,175.9,181.5,180.9,181.9,184.1,186.2,183.3,178.8,181.7,175.6,180.9,169.9,177.0,174.6,166.3,164.5,168.1,170.7,166.3,173.9,162.1,162.9,153.7
Belgium,198.3,204.5,210.4,214.2,215.4,224.6,231.7,230.6,226.2,237.4,239.7,253.9,255.7,259.8,257.1,260.7,257.3,255.0,263.6,263.3,258.8,257.9,258.0,260.3,238.6,253.1,234.5,223.5,227.6,209.6,210.4,225.7,226.4,224.6,230.9,206.8,228.9,210.2
Bulgaria,136.0,139.1,140.6,144.4,143.6,133.5,108.6,102.8,110.4,107.0,116.0,116.6,111.3,108.1,95.8,96.7,100.7,98.4,102.5,99.8,108.8,111.6,108.6,108.0,95.4,100.3,107.3,102.7,96.0,103.3,110.7,105.9,109.4,110.7,108.0,100.8,116.0,123.0
Croatia,0.0,0.0,0.0,0.0,0.0,74.5,62.3,60.4,63.1,63.4,65.8,71.3,71.3,76.3,79.8,76.4,81.1,81.6,85.8,89.6,88.8,88.0,88.6,88.4,87.5,89.2,78.1,72.8,80.3,80.7,77.0,80.7,81.4,84.9,83.5,80.3,87.2,84.5
Cyprus,66.7,68.5,82.4,83.8,84.8,88.0,87.9,101.3,103.3,101.2,105.3,104.7,103.7,108.0,111.6,114.9,114.2,110.6,115.5,110.4,121.5,117.4,117.3,118.2,113.4,108.5,106.0,98.4,87.2,86.5,88.5,95.4,97.1,95.9,95.2,82.3,86.3,91.3
Czech Republic,220.7,223.1,228.3,229.2,222.2,191.1,173.9,168.6,167.1,162.7,169.7,175.9,168.9,164.2,157.7,166.9,170.8,171.2,180.8,185.2,182.0,185.0,182.4,178.2,170.2,176.7,172.2,171.1,167.8,164.3,161.0,158.8,167.7,167.1,163.3,151.3,159.8,159.3
Denmark,153.2,156.6,150.9,149.1,137.3,141.3,162.5,151.7,160.3,171.3,167.5,198.6,179.4,172.4,166.5,159.4,159.3,158.5,170.3,160.6,150.7,165.9,156.8,148.3,139.8,147.8,138.3,128.0,133.0,127.4,123.5,124.8,124.8,122.6,119.3,105.8,115.7,115.9
Estonia,279.5,276.3,278.3,271.5,278.3,292.4,268.4,190.2,161.7,167.2,154.0,165.6,164.7,148.8,137.8,143.0,150.0,150.4,165.0,169.4,171.3,170.2,198.1,182.7,158.4,197.8,197.9,200.0,211.6,203.1,187.9,193.6,214.4,212.0,170.3,159.2,167.0,167.4
Finland,209.8,211.6,222.1,220.0,220.2,233.4,237.5,235.4,236.3,246.9,234.5,244.1,246.8,254.4,248.9,249.8,254.6,255.3,272.7,270.8,245.4,262.2,260.2,249.7,230.1,249.2,233.8,226.4,226.2,217.4,216.1,218.9,213.9,217.9,213.2,203.9,208.0,212.3
France,157.2,160.4,162.5,163.9,165.2,169.6,179.5,180.4,179.8,177.0,180.6,186.7,183.5,186.9,189.3,190.7,191.9,188.8,189.6,189.9,187.5,184.8,180.3,179.8,168.7,172.8,165.3,164.5,165.3,157.7,158.1,155.0,153.5,156.0,152.4,137.0,145.7,129.8
Germany,198.9,196.9,197.8,197.5,194.3,190.2,184.5,180.0,178.3,176.0,176.4,181.8,179.2,177.5,175.0,176.1,179.4,177.3,177.5,177.6,175.7,180.2,172.6,174.4,163.6,170.3,164.1,166.1,170.5,163.2,165.8,168.0,169.6,164.8,160.1,149.0,153.2,147.5
Greece,80.8,80.2,86.9,90.9,97.7,100.4,101.0,101.9,102.4,103.3,106.3,108.2,110.6,116.7,116.2,121.7,122.3,122.1,129.1,129.0,129.4,133.3,136.1,133.8,129.1,123.5,121.5,114.7,108.3,102.0,103.8,102.8,108.5,109.7,107.9,94.8,104.3,109.5
Hungary,113.8,113.7,119.2,116.8,114.2,112.2,104.8,100.6,96.9,98.7,100.0,102.1,99.8,101.6,101.8,99.1,101.7,99.6,101.2,103.0,110.1,108.1,106.9,105.6,98.1,100.1,97.5,91.1,86.6,86.9,91.8,93.7,99.0,99.9,101.3,99.8,105.3,96.0
Iceland,274.3,284.8,290.5,301.7,308.4,306.2,295.7,302.2,310.8,311.6,319.8,336.7,350.3,375.0,405.9,425.0,424.1,436.7,435.9,440.6,435.2,466.3,519.7,639.6,636.4,637.7,635.7,638.2,652.4,644.2,665.6,658.9,673.1,677.9,631.9,560.7,564.9,597.1
Ireland,102.2,110.1,111.4,111.4,115.2,121.8,125.8,125.5,127.5,132.4,134.4,140.8,144.1,153.5,160.2,165.6,172.2,167.7,160.8,161.0,164.4,165.2,162.9,158.8,141.3,141.9,134.9,132.1,129.4,128.2,134.2,138.7,137.6,138.9,137.8,128.3,129.6,135.9
Italy,104.0,106.8,110.0,112.7,115.8,117.7,121.3,120.7,118.1,117.8,122.5,122.5,124.5,127.4,131.0,132.7,132.5,131.3,134.8,136.7,136.1,134.9,131.6,128.4,119.2,122.6,119.8,116.3,110.9,105.2,108.5,109.1,110.6,111.4,109.7,99.9,107.0,104.1
Latvia,144.1,133.2,121.0,113.8,113.7,115.7,107.1,77.1,67.1,65.8,62.4,58.9,60.2,66.5,57.3,56.8,62.1,63.5,63.6,72.5,75.7,72.8,76.0,77.4,74.2,85.1,76.8,80.6,78.4,72.9,75.4,81.2,90.2,81.0,84.2,77.5,81.5,77.2
Lithuania,177.1,162.1,168.5,175.7,189.5,192.0,202.6,124.0,97.2,84.3,94.8,103.8,96.4,104.3,87.0,78.0,92.3,99.7,106.0,108.2,100.1,97.1,107.9,108.4,101.9,75.4,79.6,80.6,75.4,73.5,77.6,79.9,85.1,88.6,89.5,89.7,90.6,83.3
Luxembourg,317.2,308.6,289.8,294.7,335.4,350.8,372.0,368.2,368.2,349.3,299.7,304.1,293.9,280.4,292.3,307.5,325.3,351.9,364.5,407.2,407.0,393.4,376.0,366.6,344.1,355.8,339.2,325.4,302.9,286.6,272.1,262.0,267.8,275.0,274.6,231.3,243.7,217.2
Netherlands,204.1,213.1,216.2,215.7,215.4,219.4,222.0,223.1,223.5,219.7,227.2,235.6,230.1,230.3,226.3,228.0,235.5,234.5,235.1,242.0,246.2,240.3,243.2,239.3,235.0,253.6,240.4,235.0,226.9,215.8,218.5,219.4,220.0,213.7,211.8,204.1,208.8,201.6
North Macedonia,0.0,0.0,0.0,0.0,0.0,52.2,52.1,53.9,54.6,51.6,52.0,60.1,53.9,60.7,57.8,54.5,50.9,49.5,55.6,54.8,56.6,57.4,57.0,55.1,54.2,58.7,58.5,54.2,51.8,47.8,50.4,52.2,50.2,50.1,52.9,46.2,48.4,50.0
Norway,377.5,367.0,383.8,393.5,417.5,420.5,385.9,404.0,414.5,398.0,420.2,383.5,401.0,414.5,422.6,465.3,418.7,433.3,380.1,384.9,436.6,396.6,421.4,426.2,388.6,368.4,368.8,403.1,373.4,380.3,380.1,382.3,381.2,372.8,347.0,374.0,379.2,348.9
Poland,142.0,145.0,148.8,145.4,139.4,114.5,111.7,106.6,106.3,101.6,103.9,109.1,108.1,103.6,101.6,95.1,94.1,93.1,96.4,97.1,99.3,104.3,104.1,105.9,102.1,108.8,109.3,106.2,106.5,102.7,103.9,108.4,112.7,114.0,110.8,106.3,115.2,108.2
Portugal,54.2,57.3,58.6,65.0,70.2,71.4,74.2,75.1,77.2,79.7,87.1,89.5,90.4,98.1,99.8,102.5,103.3,102.0,104.3,102.0,101.6,100.6,101.2,97.6,98.3,103.7,99.2,90.9,100.4,103.0,101.1,108.5,105.4,107.6,102.5,92.8,93.2,90.3
Romania,114.3,116.4,120.3,122.2,122.0,115.9,98.4,86.9,84.8,80.3,88.6,88.5,84.5,77.8,68.8,69.0,70.2,73.4,73.9,77.3,78.2,80.5,78.3,79.1,69.5,70.6,72.8,70.3,65.8,68.5,69.2,69.6,71.1,72.8,71.4,68.4,72.1,66.0
Slovakia,167.6,165.3,168.2,168.2,170.0,169.9,151.5,145.1,142.0,139.5,141.1,141.9,139.1,140.4,141.5,146.1,150.4,151.6,147.3,144.0,151.5,147.4,138.3,142.0,128.5,137.1,131.7,126.4,129.4,120.3,121.4,122.5,128.8,126.4,122.0,119.5,129.0,122.0
Slovenia,0.0,0.0,0.0,0.0,0.0,125.6,125.6,117.3,120.5,128.3,134.7,141.3,144.6,145.1,143.8,142.6,149.3,148.4,145.2,153.6,153.0,153.7,152.1,165.7,152.2,151.6,146.6,142.2,140.5,144.0,129.5,137.8,138.7,141.0,136.5,131.6,130.2,123.8
Spain,86.3,87.8,90.8,94.7,99.0,98.9,102.1,106.4,102.4,106.7,110.3,114.0,119.7,124.9,128.2,135.0,140.4,140.2,145.5,148.3,146.8,146.5,146.9,140.6,129.3,132.2,129.2,128.5,122.4,120.5,122.1,123.2,124.3,126.0,121.6,109.4,117.0,121.0
Sweden,296.8,306.8,299.4,291.6,283.9,287.3,271.1,271.6,267.4,266.2,268.2,259.8,268.3,289.6,280.6,259.5,277.5,258.9,247.1,264.9,270.4,253.0,255.1,249.7,227.1,239.3,233.7,245.8,228.1,224.7,230.0,223.5,228.3,221.4,227.8,213.8,216.7,215.7
Switzerland,180.2,188.1,185.9,185.9,172.3,177.9,180.4,181.3,179.3,186.9,175.9,169.2,180.5,181.0,188.2,182.6,193.9,179.2,176.0,172.2,164.2,169.8,166.4,169.8,167.2,161.0,151.1,158.0,160.3,151.1,146.1,135.9,135.0,136.1,141.0,128.8,123.7,120.1
Turkey,28.3,30.2,33.7,36.3,35.0,37.2,37.3,38.6,41.2,39.2,43.1,46.3,47.6,48.1,46.1,48.6,43.5,46.9,49.0,51.8,52.2,57.2,60.0,59.5,59.5,62.0,65.3,68.4,66.7,67.4,72.6,75.0,78.4,76.8,79.1,77.2,82.1,82.2
Ukraine,196.6,196.9,200.4,200.1,191.0,222.9,208.6,175.9,154.2,132.6,130.4,122.6,119.3,116.1,115.4,116.8,116.2,116.5,120.4,120.8,123.2,125.5,125.8,122.1,104.4,112.4,116.6,114.4,108.8,96.4,80.3,84.3,78.6,82.0,78.0,75.3,77.3,58.7
