Primary energy: Consumption per capita*,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,
Gigajoule per capita,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,254.0,265.4,272.8,285.7,298.7,313.8,317.0,336.0,360.4,366.7,356.2,368.1,384.9,388.2,395.4,398.3,391.1,375.0,369.1,389.0,398.0,397.7,405.5,415.8,413.2,391.6,388.2,393.9,399.3,410.1,415.7,422.6,420.6,411.0,420.5,428.0,414.8,424.5,422.5,425.1,423.9,417.4,429.0,419.3,398.4,397.7,408.4,405.3,410.6,407.5,406.4,396.7,397.8,396.2,388.7,361.8,362.7,367.8,1.4%,-1.0%,
Mexico,24.7,25.3,25.0,26.3,28.0,28.9,29.5,31.6,33.0,35.3,36.5,37.7,38.7,42.2,45.4,48.2,52.1,53.2,51.6,52.9,54.5,52.0,52.8,52.3,54.3,58.1,58.6,58.6,57.6,59.7,57.6,58.1,58.4,59.8,59.7,62.3,60.8,61.4,61.2,63.8,69.0,69.0,68.8,70.7,68.6,67.9,70.0,69.7,68.8,67.5,66.0,66.7,67.3,65.8,64.5,59.0,63.1,68.4,8.5%,-0.2%,
US,274.0,286.1,293.1,307.5,319.9,327.2,329.8,342.3,353.2,341.3,329.2,344.0,349.2,352.9,352.5,334.8,321.3,305.0,300.8,313.0,309.0,308.8,316.0,327.1,331.4,328.0,323.1,323.2,325.4,327.0,329.8,336.8,335.0,333.0,334.8,338.4,326.8,328.3,326.2,329.4,326.4,320.6,321.8,311.0,293.0,300.2,295.1,284.8,290.0,290.6,285.5,283.0,281.8,290.1,286.2,263.7,277.2,283.5,2.3%,0.0%,
Total North America,230.2,239.5,244.4,255.5,265.1,271.0,272.5,282.6,291.7,283.0,272.7,283.6,287.8,290.6,290.6,278.2,268.4,255.5,251.3,261.2,259.1,258.0,263.5,271.6,274.6,271.3,267.4,267.6,269.0,271.1,272.7,277.8,276.3,274.2,275.9,279.3,269.8,271.4,269.5,272.3,271.1,266.6,268.0,260.2,245.8,250.4,247.9,240.4,244.0,243.7,239.6,237.3,236.6,241.7,238.1,219.5,229.6,235.6,2.6%,-0.2%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,53.6,54.5,55.2,56.2,57.2,53.4,55.7,55.5,57.0,58.3,56.0,57.9,59.5,58.6,61.9,60.6,57.9,58.1,59.5,58.8,57.2,59.6,61.3,61.4,58.4,56.6,56.7,60.0,61.1,63.5,64.7,66.8,66.8,68.4,68.4,67.9,65.6,62.2,66.0,69.3,72.8,75.7,78.2,78.4,75.4,77.4,78.8,81.0,83.3,82.4,83.0,81.8,81.0,79.8,74.6,69.5,76.8,79.2,3.1%,-0.2%,
Brazil,11.7,12.4,12.5,13.9,14.8,16.9,18.4,20.5,23.6,25.7,26.5,28.3,29.5,31.9,34.0,33.9,32.5,33.4,33.0,34.4,36.1,37.3,37.6,38.0,38.3,37.4,38.0,37.9,39.0,40.2,42.1,43.9,46.0,46.9,46.8,48.2,46.4,46.9,47.2,48.9,49.7,50.5,53.2,54.9,54.0,58.4,59.9,61.1,62.0,63.1,61.7,59.7,59.8,59.5,60.1,57.3,60.0,62.3,3.8%,0.2%,
Chile,29.0,30.5,30.6,29.9,31.7,32.9,35.0,35.1,33.4,33.0,29.4,30.0,31.0,31.7,33.0,33.6,33.3,30.7,31.4,32.2,32.1,32.8,33.9,37.3,40.5,42.0,46.4,50.7,52.8,54.6,58.0,60.6,68.3,67.6,69.5,72.1,72.7,73.6,73.2,77.4,79.5,81.5,80.6,79.8,75.8,77.1,80.9,83.6,85.1,83.4,83.4,86.4,88.3,90.1,89.6,82.5,88.1,91.2,3.6%,0.9%,
