Primary Energy: Consumption by fuel*,,,,,,,,,,,,,,Contents,,,,
,2021,,,,,,,2022,,,,,,,,,,
Exajoules,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total,,,,
,,,,,,,,,,,,,,,,,,
Canada,4.11,4.21,0.50,0.83,3.61,0.58,13.84,4.27,4.38,0.39,0.78,3.74,0.59,14.14,,,,
Mexico,3.39,3.50,0.20,0.11,0.33,0.46,7.99,4.12,3.48,0.25,0.10,0.34,0.45,8.73,,,,
US,35.51,30.09,10.57,7.42,2.35,7.47,93.40,36.15,31.72,9.87,7.31,2.43,8.43,95.91,,,,
Total North America,43.02,37.80,11.27,8.36,6.28,8.50,115.23,44.53,39.58,10.51,8.19,6.50,9.46,118.78,,,,
,,,,,,,,,,,,,,,,,,
Argentina,1.29,1.65,0.05,0.09,0.19,0.21,3.48,1.38,1.64,0.05,0.07,0.22,0.24,3.60,,,,
Brazil,4.78,1.46,0.71,0.13,3.42,2.36,12.85,5.01,1.15,0.59,0.13,4.01,2.53,13.41,,,,
Chile,0.76,0.25,0.29,0.00,0.17,0.25,1.72,0.80,0.27,0.22,0.00,0.21,0.29,1.79,,,,
Colombia,0.86,0.45,0.11,0.00,0.57,0.07,2.07,0.96,0.45,0.10,0.00,0.60,0.07,2.19,,,,
Ecuador,0.49,0.02,0.00,0.00,0.24,0.01,0.76,0.53,0.02,0.00,0.00,0.23,0.01,0.79,,,,
Peru,0.48,0.29,0.02,0.00,0.30,0.05,1.14,0.50,0.35,0.03,0.00,0.28,0.05,1.21,,,,
Trinidad & Tobago,0.05,0.56,0.00,0.00,0.00,0.00,0.61,0.05,0.54,0.00,0.00,0.00,0.00,0.59,,,,
Venezuela,0.45,1.01,0.00,0.00,0.64,0.00,2.10,0.53,1.05,0.00,0.00,0.63,0.00,2.21,,,,
Other S. & Cent. America,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total S. & Cent. America,11.67,6.04,1.41,0.22,6.30,3.28,28.93,12.37,5.82,1.19,0.20,7.00,3.53,30.11,,,,
,,,,,,,,,,,,,,,,,,
Austria,0.50,0.32,0.11,0.00,0.37,0.16,1.45,0.48,0.28,0.10,0.00,0.33,0.17,1.37,,,,
Belgium,1.23,0.61,0.11,0.45,0.00,0.25,2.66,1.16,0.52,0.12,0.39,0.00,0.26,2.45,,,,
Czech Republic,0.41,0.33,0.54,0.28,0.02,0.10,1.68,0.41,0.27,0.59,0.28,0.02,0.10,1.67,,,,
Finland,0.33,0.07,0.12,0.21,0.15,0.26,1.15,0.33,0.04,0.12,0.23,0.13,0.32,1.18,,,,
France,2.92,1.55,0.23,3.43,0.55,0.72,9.40,2.91,1.38,0.21,2.65,0.42,0.81,8.39,,,,
Germany,4.18,3.30,2.24,0.62,0.19,2.25,12.78,4.26,2.78,2.33,0.31,0.16,2.45,12.30,,,,
Greece,0.55,0.25,0.07,0.00,0.06,0.16,1.09,0.62,0.22,0.07,0.00,0.04,0.18,1.14,,,,
Hungary,0.35,0.39,0.06,0.14,0.00,0.08,1.02,0.35,0.33,0.05,0.14,0.00,0.09,0.96,,,,
