,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,Mexico,US,Total North America,,Argentina,Brazil,Chile,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Central America,Other Caribbean,Other South America,Total S. & Cent. America,,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Other Europe,Total Europe,,Azerbaijan,Belarus,Kazakhstan,Russian Federation,Turkmenistan,USSR,Uzbekistan,Other CIS,Total CIS,,Iran,Iraq,Israel,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,,Algeria,Egypt,Morocco,South Africa,Eastern Africa,Middle Africa,Western Africa,Other Northern Africa,Other Southern Africa,Total Africa,,Australia,Bangladesh,China,China Hong Kong SAR,India,Indonesia,Japan,Malaysia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Other Asia Pacific,Total Asia Pacific,,Total World,of which: OECD,                 Non-OECD,                 European Union#
,254,24.7,274,230.2,,53.6,11.7,29,19.2,5.8,16.8,130.4,71.2,10.2,35.4,14.9,23.5,,93.8,157.9,52.4,0,27.3,173.9,125.8,0,91,97.9,140.6,33.4,65.7,142,85.4,65,0,0,456.3,121.4,0,208.3,89.5,20.2,52.5,88.1,0,37.8,182.4,112.2,10.5,0,153.6,30,94,,0,0,0,0,0,108.1,0,0,108.1,,14.2,10,42.1,555,0.6,78.3,170,17.7,14.7,33.7,,7.2,10.7,4.8,66.5,3.7,3.8,2.2,12.7,1.7,8,,134.9,0,7.6,26.3,4.5,3,66,13.1,116.3,2.7,6,92.7,9.2,3.4,19.4,3.6,2.8,10,10.5,,46.7,129.1,18.5,94.7
1965,265.4,25.3,286.1,239.5,,54.5,12.4,30.5,21,6,19.9,136.6,69.5,10.3,35.9,15.8,24.3,,97.5,151.3,55.7,0,30.9,174.7,141.9,0,103.2,99.2,139.9,36.6,66.4,146.4,95.2,70,0,0,432.9,128.4,0,211.4,90.4,22.1,55.7,90.5,0,42.3,192.9,119.3,11.7,0,153.4,31.2,96,,0,0,0,0,0,113.7,0,0,113.7,,15,10.7,42.5,527.7,0.7,70,165.8,18,14.7,33.9,,8.5,11,6.1,64.8,4,3.8,2.2,13.2,2.1,8.2,,138.5,0,8.1,27.9,4.5,2.9,72.2,14.8,121.4,2.6,6.3,103.4,11,3.4,20.1,4.1,4.8,10.4,11.2,,48.2,133.8,19.2,97.1
1966,272.8,25,293.1,244.4,,55.2,12.5,30.6,21.6,6.3,19.7,143.7,71,10.5,36.6,15.9,24.6,,97.8,158,64.2,0,33.2,171.6,141.6,0,108,104.5,138.5,40.3,63.1,142.7,102.6,75.2,0,0,423.2,134.2,0,225.2,92.3,23.7,61.7,90.3,0,45.1,196,125.8,11.8,0,152.6,31.3,97.9,,0,0,0,0,0,118.1,0,0,118.1,,16.1,10.4,50.2,488.8,3.1,88.8,161.7,101.7,14.6,34.7,,7.9,9.2,6.3,65.5,4,3.7,2.3,13.6,2.2,8.1,,144.2,0,7.1,32.2,4.5,2.8,81.7,15.4,120.7,2.8,6.9,121.4,12.3,3.4,21.3,4.6,6.5,10.9,11.4,,49,137.4,19.4,99.8
1967,285.7,26.3,307.5,255.5,,56.2,13.9,29.9,21.8,7.2,19.5,146.3,74.2,10.6,36.7,16,25.4,,104,175.3,71.2,0,36.6,178.7,146.9,0,116.7,109.2,147,41.9,65.2,148.9,119,80.7,0,0,455.7,148.3,0,250.1,98.5,24.2,65.1,98.9,0,47,207.9,130.5,13.4,0,157.2,34.1,103.6,,0,0,0,0,0,121.3,0,0,121.3,,17.2,10.7,49.8,469.2,3.7,249.2,157.7,117.1,15.2,35.5,,8.3,9.7,6.6,67,4,3.7,2.3,14.7,2.4,8.3,,150.2,0,7,34.2,4.8,2.9,90,15.6,122.1,3.1,7.6,147.8,13.8,3.5,23.8,5.7,6.6,11.4,12,,51,144.8,19.8,106.1
1968,298.7,28,319.9,265.1,,57.2,14.8,31.7,21.5,7.4,19.1,149.1,72.7,10.8,37,16.8,25.9,,107.4,191.7,78.7,0,42.9,186,167.7,0,128.4,119.3,157.8,44.2,69.6,147.3,118.7,86.3,0,0,488.7,163.4,0,248.5,104.5,26.4,74.1,102.7,0,52.7,206.7,133.5,14.3,0,162.2,36,110.2,,0,0,0,0,0,125.4,0,0,125.4,,18.3,12,54.8,440.6,5.1,348.5,153.8,99.1,15.4,36.4,,8.9,7.8,7,66.9,4.2,3.8,2.5,15.3,2.5,8.3,,153.3,0,8.3,39.5,5.2,3.2,101.2,16.7,122.8,3,7.9,142.6,16.3,3.5,24.4,5.8,7.6,11.8,13.3,,53.3,152.6,20.7,114.2
1969,313.8,28.9,327.2,271,,53.4,16.9,32.9,23,8.6,19.2,162.7,71.2,11,41.6,17.3,27.1,,122.6,201.7,87.8,0,45,193.6,177.7,0,142,128.5,166,49,74.7,177.9,92.9,94.7,0,0,505.8,182.2,0,258.1,109.5,31.9,78.1,112.8,0,56.3,218.2,145.1,14.9,0,164.9,39.3,116.5,,0,0,0,0,0,130.8,0,0,130.8,,21,14.4,56.8,329.2,5,351.6,155,116,16.5,37.6,,9.6,9.5,7.2,67.8,4.6,3.9,2.6,16.8,2.8,8.8,,163,0,10.3,41.9,4.9,3.3,111.7,15.5,134.9,2.9,8.8,152.3,18.5,5.7,25.9,6.8,7.8,12.3,14.8,,55.5,159.2,21.9,121.9
1970,317,29.5,329.8,272.5,,55.7,18.4,35,22.2,9.2,19.6,162.6,70.2,11.2,42.3,18,28,,121.5,197.1,90.8,0,53.3,203.1,167,0,145.6,132.4,167.1,58.2,76.9,192,95.5,99.1,0,0,482.6,189.9,0,269.7,112.2,35,81.9,120,0,61.4,220.9,147.7,16.1,0,161.2,45.4,118.8,,0,0,0,0,0,136.1,0,0,136.1,,22.4,15.2,62.5,306.7,80.9,310.5,148.2,153,17.2,39.2,,10.1,9.5,7.4,71,4.5,4.3,3.1,14.6,2.9,9.1,,165.9,0.7,12,43.4,5,3.1,117.4,16.9,139,5.7,9.8,130,19.6,5.7,31.8,7.3,6.8,13.2,15.8,,56.6,161.6,23,125
1971,336,31.6,342.3,282.6,,55.5,20.5,35.1,25,9.3,17.1,221.2,72,11.5,44.3,18.2,29.5,,125,208.8,92.8,0,59.7,203.5,175.1,0,152.6,140.3,172.6,65,79.2,205.8,99.3,103.2,0,0,491.8,218.3,0,283.8,117.3,37.5,85.4,125.1,0,65.7,226.3,144.4,17.6,0,163,46.9,123.5,,0,0,0,0,0,141.7,0,0,141.7,,24.7,17.2,57.4,318.9,89.9,308.2,151.1,143.6,16.5,40.8,,11.1,10.3,7.8,71.2,4.5,4.4,3.3,17.7,3,9.4,,169.5,0.8,12.6,48.1,5.2,3.2,121.4,18.4,145.7,5.2,9.5,160.1,19.9,5.9,33.3,8.6,6.4,13.6,16.4,,58.5,167.8,23.8,130.9
1972,360.4,33,353.2,291.7,,57,23.6,33.4,23.7,9.7,18.9,216.5,80,12.3,48.3,18.7,31.7,,133.6,211.1,95.9,0,63.7,203.7,168.5,0,167.2,151.2,182.5,74.3,85.5,245.2,102.7,107,0,0,516.7,230.1,0,298.6,118.5,40.9,91.8,128.9,0,71.1,238.3,158.5,19.5,0,170.8,48.5,129.7,,0,0,0,0,0,147.6,0,0,147.6,,28.6,16.3,59.5,299.2,76,396.2,152.9,165.5,18.6,43.5,,13,9.6,8.5,74.5,4.6,4.8,3.6,22.8,3.3,9.9,,178.3,1,13,48.6,5.2,3.5,132.9,18.9,148.5,5.4,10.8,148.3,24.1,6,38.1,8.9,6.6,13.7,17.3,,60.8,175.3,24.7,137.5
