Country,Source,R-Value,Direction,Strength
Canada,Energy Source Nuclear,,,
Canada,"Energy Source Coal, peat and oil shale",0.4789865853697731,Positive,Moderate
Canada,Energy Source Oil products,0.7178485770285135,Positive,Strong
Canada,Energy Source Electricity,0.37491646723381716,Positive,Moderate
Canada,Energy Source Natural gas,0.6690378445081547,Positive,Strong
Mexico,Energy Source Nuclear,,,
Mexico,"Energy Source Coal, peat and oil shale",-0.004520265373920186,Negative,Weak
Mexico,Energy Source Oil products,0.6245530891555783,Positive,Strong
Mexico,Energy Source Electricity,0.0319773954070803,Positive,Weak
Mexico,Energy Source Natural gas,0.33898331877,Positive,Moderate
US,Energy Source Nuclear,,,
US,"Energy Source Coal, peat and oil shale",0.48075198822934057,Positive,Moderate
US,Energy Source Oil products,0.857376156141075,Positive,Strong
US,Energy Source Electricity,0.6584265106867085,Positive,Strong
US,Energy Source Natural gas,0.7104926768421794,Positive,Strong
Argentina,Energy Source Nuclear,,,
Argentina,"Energy Source Coal, peat and oil shale",0.5207444105192754,Positive,Strong
Argentina,Energy Source Oil products,0.7623290214917426,Positive,Strong
Argentina,Energy Source Electricity,0.6801143182858604,Positive,Strong
Argentina,Energy Source Natural gas,0.542239908036369,Positive,Strong
Brazil,Energy Source Nuclear,,,
Brazil,"Energy Source Coal, peat and oil shale",0.661437517980828,Positive,Strong
Brazil,Energy Source Oil products,0.8339329617294642,Positive,Strong
Brazil,Energy Source Electricity,0.8550426133863479,Positive,Strong
Brazil,Energy Source Natural gas,0.523721052338863,Positive,Strong
Chile,Energy Source Nuclear,,,
Chile,"Energy Source Coal, peat and oil shale",0.47192659476182325,Positive,Moderate
Chile,Energy Source Oil products,0.5436838121550641,Positive,Strong
Chile,Energy Source Electricity,0.6027658100942254,Positive,Strong
Chile,Energy Source Natural gas,0.32200056698628193,Positive,Moderate
Colombia,Energy Source Nuclear,,,
Colombia,"Energy Source Coal, peat and oil shale",0.042479256338021756,Positive,Weak
Colombia,Energy Source Oil products,0.6231726635777443,Positive,Strong
Colombia,Energy Source Electricity,0.42625555019593914,Positive,Moderate
Colombia,Energy Source Natural gas,-0.0998227436843574,Negative,Weak
Austria,Energy Source Nuclear,,,
Austria,"Energy Source Coal, peat and oil shale",0.38051570840502247,Positive,Moderate
Austria,Energy Source Oil products,0.523594664886451,Positive,Strong
Austria,Energy Source Electricity,0.665091402293071,Positive,Strong
Austria,Energy Source Natural gas,0.7198243613473957,Positive,Strong
Belgium,Energy Source Nuclear,,,
Belgium,"Energy Source Coal, peat and oil shale",0.5182879572471453,Positive,Strong
Belgium,Energy Source Oil products,0.6086711586190796,Positive,Strong
Belgium,Energy Source Electricity,0.7319668877549188,Positive,Strong
Belgium,Energy Source Natural gas,0.669733852341612,Positive,Strong
Czech Republic,Energy Source Nuclear,,,
Czech Republic,"Energy Source Coal, peat and oil shale",0.42349288199267815,Positive,Moderate
Czech Republic,Energy Source Oil products,0.6395952320774575,Positive,Strong
Czech Republic,Energy Source Electricity,0.7658391633502839,Positive,Strong
Czech Republic,Energy Source Natural gas,0.42191337304955456,Positive,Moderate
Denmark,Energy Source Nuclear,,,
Denmark,"Energy Source Coal, peat and oil shale",0.3648437859674229,Positive,Moderate
Denmark,Energy Source Oil products,0.6232396936528594,Positive,Strong
Denmark,Energy Source Electricity,0.6116503184129009,Positive,Strong
Denmark,Energy Source Natural gas,0.6572874492165394,Positive,Strong
Estonia,Energy Source Nuclear,,,
Estonia,"Energy Source Coal, peat and oil shale",0.4910405194515034,Positive,Moderate
Estonia,Energy Source Oil products,0.5575233400624896,Positive,Strong
Estonia,Energy Source Electricity,0.6480990131031591,Positive,Strong
Estonia,Energy Source Natural gas,0.5561304355137632,Positive,Strong
Finland,Energy Source Nuclear,,,
Finland,"Energy Source Coal, peat and oil shale",0.5477464777381194,Positive,Strong
Finland,Energy Source Oil products,0.5735237943770943,Positive,Strong
Finland,Energy Source Electricity,0.7871348577487878,Positive,Strong
Finland,Energy Source Natural gas,0.4707366394819071,Positive,Moderate
France,Energy Source Nuclear,,,
France,"Energy Source Coal, peat and oil shale",0.41606600555479994,Positive,Moderate
France,Energy Source Oil products,0.7862436000539339,Positive,Strong
France,Energy Source Electricity,0.8488604436360806,Positive,Strong
France,Energy Source Natural gas,0.8107703953678128,Positive,Strong
Germany,Energy Source Nuclear,,,
Germany,"Energy Source Coal, peat and oil shale",0.42501897509081965,Positive,Moderate
Germany,Energy Source Oil products,0.5470486403757,Positive,Strong
Germany,Energy Source Electricity,0.741229878022273,Positive,Strong
Germany,Energy Source Natural gas,0.7012917271600937,Positive,Strong
Greece,Energy Source Nuclear,,,
Greece,"Energy Source Coal, peat and oil shale",0.08287728572531666,Positive,Weak
Greece,Energy Source Oil products,0.6370955901157236,Positive,Strong
Greece,Energy Source Electricity,0.5950906913238001,Positive,Strong
Greece,Energy Source Natural gas,,,
Hungary,Energy Source Nuclear,,,
Hungary,"Energy Source Coal, peat and oil shale",0.468789947970538,Positive,Moderate
Hungary,Energy Source Oil products,0.6109379774181753,Positive,Strong
Hungary,Energy Source Electricity,0.6595966833803791,Positive,Strong
